tipo,nombre,unidad,precio,solo_loza,solo_desechable,es_opcion_de,orden,notas
bebidas,Agua mineral,litro,0,false,false,,10,
bebidas,Zumo de naranja natural,litro,0,false,false,,20,
bebidas,Refresco Coca-Cola,uds,0,false,false,Refrescos,30,
bebidas,Refresco Coca-Cola Zero,uds,0,false,false,Refrescos,31,
bebidas,Refresco Fanta naranja,uds,0,false,false,Refrescos,32,
menaje,Vasos para zumo,uds,0,false,false,,100,
menaje,Kit desechable para cafe,uds,0,false,true,,110,
menaje,Servilletas,uds,0,false,false,,120,
menaje,Plato llano loza,uds,0,true,false,,130,
menaje,Cubiertos desechables,uds,0,false,true,,140,
extras,Mantel,uds,0,false,false,,200,
extras,Mantel Desechable,uds,0,false,true,Mantel,201,
extras,Mantel de tela,uds,0,true,false,Mantel,202,
extras,Bolsa de basura,uds,0,false,false,,210,
